time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover,Bias
2024-11-08 06:00:00,17.36528,17.37904,17.36528,17.37274,17.5170658,17.5007204,1,0.0,Bullish
2024-11-08 07:00:00,17.36593,17.37324,17.32752,17.33833,17.5083016,17.4988085,1,0.0,Bullish
2024-11-08 08:00:00,17.33722,17.35739,17.33522,17.35053,17.501882000000002,17.4970712,1,0.0,Bullish
2024-11-08 09:00:00,17.35048,17.41794,17.35018,17.38567,17.4955332,17.4959751,-1,-2.0,Bearish
2024-11-08 10:00:00,17.38494,17.46453,17.37388,17.42415,17.487978599999998,17.4951903,-1,0.0,Bearish
2024-11-08 11:00:00,17.42318,17.48046,17.41578,17.45724,17.4829012,17.494623999999998,-1,0.0,Bearish
2024-11-08 12:00:00,17.45705,17.50037,17.45705,17.48253,17.4808928,17.4939456,-1,0.0,Bearish
2024-11-08 13:00:00,17.48138,17.49553,17.45341,17.48269,17.478209,17.4933378,-1,0.0,Bearish
2024-11-08 14:00:00,17.483,17.5402,17.48076,17.51011,17.4747998,17.4929599,-1,0.0,Bearish
2024-11-08 15:00:00,17.51044,17.53457,17.48889,17.49335,17.4695002,17.492736700000002,-1,0.0,Bearish
2024-11-08 16:00:00,17.49278,17.51508,17.45962,17.503,17.4649376,17.4925507,-1,0.0,Bearish
2024-11-08 17:00:00,17.50553,17.56621,17.50553,17.5552,17.4620152,17.49307,-1,0.0,Bearish
2024-11-08 18:00:00,17.55469,17.56674,17.54267,17.56645,17.458882,17.4935203,-1,0.0,Bearish
2024-11-08 19:00:00,17.56645,17.64473,17.56591,17.59462,17.458777,17.494134,-1,0.0,Bearish
2024-11-08 20:00:00,17.59462,17.63102,17.57182,17.61987,17.4589292,17.495108899999998,-1,0.0,Bearish
2024-11-08 21:00:00,17.62095,17.63205,17.59064,17.59556,17.4584014,17.4959237,-1,0.0,Bearish
2024-11-08 22:00:00,17.59687,17.60744,17.57713,17.58053,17.4587402,17.496294,-1,0.0,Bearish
2024-11-08 23:00:00,17.58048,17.594,17.5348,17.55911,17.4577626,17.4967445,-1,0.0,Bearish
2024-11-11 00:00:00,17.6215,17.63493,17.58968,17.61342,17.4577684,17.497958099999998,-1,0.0,Bearish
2024-11-11 01:00:00,17.61188,17.62508,17.6042,17.60954,17.458265,17.499062900000002,-1,0.0,Bearish
2024-11-11 02:00:00,17.60652,17.6278,17.59593,17.60762,17.4582348,17.5001668,-1,0.0,Bearish
